鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
龜山區,房地(土地+建物),桃園市龜山區文德二路128巷1~30號,31.45,住,,,10411,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840330,140.49,3,2,2,有,有,有,13500,96,,0.0,0,,RPROMLMJJIKFFAH77CC
桃園區,建物,桃園市桃園區民生路661~690號,34.0,住,,,10410,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660111,78.22,4,2,1,有,無,有,8000,102,,0.0,0,,RPTOMLMJJIKFFAH97CC
桃園區,建物,桃園市桃園區中山北路181~210號,0.0,住,,,10410,土地0建物1車位0,見使用執照,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0710226,124.96000000000001,3,2,2,有,無,無,17000,136,,0.0,0,,RPVQMLMJJIKFFAH38CC
大園區,房地(土地+建物),桃園市大園區中正東路一段841~870號,1808.0,,特定農業區,丁種建築用地,10410,土地2建物1車位0,見其他登記事項,3,工廠,見其他登記事項,鋼筋混凝土造,0970826,1489.98,0,0,0,無,無,無,250000,,,0.0,0,,RPXNMLMJJIKFFEH68CC
八德區,房地(土地+建物),桃園市八德區忠勇街84巷1~30號,27.06,住,,,10410,土地1建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821230,116.0,3,2,2,有,無,無,13000,112,,0.0,0,,RPPOMLMJJIKFFFH08CC
中壢區,土地,後興段901~930地號,3554.07,農,,,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,8,,0.0,0,,RPORMLMJJIKFFBH97DC
龍潭區,土地,三洽水段541~570地號,546.75,,山坡地保育區,農牧用地,10410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,7000,13,,0.0,0,,RPQOMLMJJIKFFCH97DC
中壢區,建物,桃園市中壢區忠勤街91~120號,143.0,住,,,10406,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0831105,76.77,2,1,1,有,無,有,9500,124,,0.0,0,,RPUNMLMJJIKFFBH28EC
大園區,房地(土地+建物),桃園市大園區領航北路三段211~240號,953.4,其他,,,10410,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1030529,814.46,0,0,4,有,無,無,120000,147,,0.0,0,,RPPOMLMJJIKFFEH18EC
平鎮區,房地(土地+建物),桃園市平鎮區大興街58隻1~30號,9.5,住,,,10410,土地2建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040416,75.44,2,2,1,有,無,有,12000,159,,0.0,0,,RPOOMLNJJIKFFGH28DC
